iter	Passed	Remaining
400	19029	28426
401	19081	28384
402	19126	28334
403	19174	28286
404	19221	28239
405	19268	28191
406	19314	28140
407	19362	28094
408	19412	28050
409	19460	28004
410	19505	27952
411	19554	27908
412	19603	27862
413	19652	27816
414	19698	27767
415	19745	27720
416	19793	27672
417	19838	27621
418	19883	27571
419	19927	27519
420	19974	27471
421	20024	27427
422	20074	27383
423	20119	27332
424	20167	27285
425	20210	27232
426	20254	27180
427	20300	27130
428	20344	27078
429	20392	27032
430	20439	26983
431	20485	26934
432	20535	26890
433	20585	26846
434	20627	26792
435	20677	26747
436	20727	26703
437	20778	26661
438	20824	26611
439	20869	26561
440	20915	26512
441	20961	26462
442	21008	26414
443	21056	26368
444	21103	26320
445	21153	26275
446	21196	26223
447	21243	26175
448	21292	26129
449	21340	26082
450	21387	26035
451	21431	25983
452	21477	25934
453	21523	25884
454	21569	25836
455	21616	25787
456	21664	25741
457	21708	25690
458	21757	25644
459	21807	25600
460	21854	25551
461	21900	25503
462	21943	25450
463	21990	25402
464	22035	25352
465	22082	25304
466	22129	25256
467	22174	25206
468	22215	25152
469	22259	25101
470	22308	25055
471	22351	25003
472	22401	24958
473	22449	24912
474	22498	24866
475	22545	24819
476	22592	24771
477	22636	24720
478	22684	24673
479	22729	24623
480	22774	24573
481	22818	24522
482	22865	24475
483	22913	24428
484	22958	24378
485	23005	24331
486	23056	24286
487	23102	24239
488	23149	24190
489	23198	24145
490	23244	24096
491	23293	24051
492	23340	24003
493	23389	23958
494	23439	23912
495	23488	23866
496	23535	23819
497	23579	23769
498	23623	23718
499	23667	23667
500	23717	23622
501	23761	23571
502	23807	23523
503	23850	23472
504	23964	23489
505	24153	23580
506	24307	23636
507	24447	23677
508	24602	23732
509	24668	23701
510	24803	23736
511	24865	23700
512	24910	23648
513	24957	23597
514	25002	23546
515	25050	23497
516	25093	23443
517	25142	23395
518	25191	23346
519	25240	23298
520	25283	23245
521	25330	23195
522	25372	23141
523	25417	23089
524	25466	23041
525	25513	22991
526	25562	22942
527	25608	22892
528	25654	22841
529	25699	22790
530	25745	22739
531	25795	22692
532	25841	22641
533	25888	22591
534	25933	22540
535	25982	22492
536	26029	22442
537	26076	22392
538	26122	22342
539	26170	22293
540	26215	22241
541	26264	22193
542	26308	22141
543	26357	22093
544	26403	22043
545	26454	21996
546	26503	21948
547	26551	21900
548	26597	21849
549	26643	21798
550	26691	21750
551	26740	21702
552	26785	21651
553	26833	21602
554	26883	21555
555	26928	21504
556	26973	21453
557	27018	21401
558	27065	21352
559	27111	21301
560	27161	21254
561	27205	21202
562	27249	21151
563	27297	21102
564	27348	21055
565	27395	21006
566	27440	20955
567	27489	20907
568	27535	20857
569	27580	20806
570	27626	20756
571	27676	20708
572	27720	20657
573	27769	20609
574	27813	20557
575	27857	20506
576	27904	20457
577	27950	20406
578	27995	20356
579	28045	20308
580	28095	20261
581	28137	20208
582	28185	20160
583	28233	20111
584	28278	20060
585	28327	20013
586	28370	19960
587	28416	19910
588	28460	19859
589	28509	19811
590	28555	19761
591	28604	19713
592	28649	19663
593	28696	19614
594	28738	19561
595	28789	19514
596	28833	19463
597	28884	19417
598	28932	19368
599	28977	19318
600	29023	19268
601	29067	19217
602	29115	19168
603	29161	19118
604	29207	19069
605	29254	19020
606	29304	18973
607	29347	18921
608	29396	18873
609	29438	18821
610	29485	18772
611	29529	18721
612	29575	18671
613	29626	18624
614	29675	18577
615	29724	18529
616	29772	18481
617	29819	18432
618	29866	18383
619	29917	18336
620	29963	18287
621	30013	18239
622	30057	18188
623	30105	18140
624	30151	18090
625	30196	18040
626	30242	17991
627	30285	17939
628	30333	17891
629	30379	17841
630	30425	17792
631	30473	17744
632	30521	17695
633	30567	17646
634	30616	17598
635	30662	17548
636	30707	17498
637	30751	17448
638	30820	17411
639	30868	17363
640	30915	17314
641	30963	17266
642	31013	17219
643	31062	17170
644	31109	17122
645	31159	17074
646	31202	17023
647	31249	16975
648	31295	16925
649	31343	16877
650	31386	16826
651	31433	16777
652	31482	16729
653	31527	16679
654	31576	16631
655	31621	16581
656	31668	16533
657	31715	16484
658	31763	16435
659	31808	16386
660	31856	16337
661	31901	16287
662	31949	16239
663	31993	16189
664	32042	16141
665	32089	16092
666	32134	16043
667	32185	15996
668	32232	15947
669	32282	15900
670	32326	15850
671	32373	15801
672	32419	15752
673	32471	15706
674	32517	15656
675	32566	15608
676	32613	15560
677	32660	15511
678	32709	15463
679	32756	15415
680	32802	15365
681	32847	15316
682	32894	15267
683	32935	15215
684	32980	15166
685	33030	15118
686	33074	15068
687	33117	15018
688	33166	14970
689	33212	14921
690	33257	14872
691	33304	14823
692	33350	14774
693	33398	14726
694	33445	14677
695	33489	14627
696	33534	14578
697	33578	14528
698	33626	14479
699	33673	14431
700	33714	14380
701	33760	14331
702	33805	14282
703	33851	14233
704	33894	14182
705	33942	14134
706	33986	14085
707	34034	14036
708	34081	13988
709	34128	13939
710	34175	13891
711	34223	13843
712	34269	13794
713	34313	13744
714	34394	13709
715	34530	13696
716	34599	13656
717	34646	13607
718	34695	13559
719	34739	13509
720	34788	13461
721	34836	13413
722	34879	13363
723	34925	13314
724	34973	13265
725	35017	13216
726	35060	13165
727	35106	13116
728	35153	13068
729	35202	13019
730	35245	12969
731	35294	12922
732	35339	12872
733	35387	12824
734	35434	12775
735	35477	12725
736	35528	12678
737	35578	12630
738	35624	12581
739	35668	12532
740	35715	12483
741	35761	12434
742	35808	12386
743	35851	12336
744	35899	12287
745	35948	12239
746	35997	12191
747	36039	12141
748	36088	12093
749	36134	12044
750	36178	11995
751	36222	11945
752	36269	11897
753	36319	11849
754	36365	11800
755	36412	11752
756	36462	11704
757	36512	11656
758	36559	11608
759	36608	11560
760	36650	11510
761	36697	11461
762	36740	11412
763	36789	11364
764	36835	11315
765	36877	11265
766	36925	11217
767	36966	11167
768	37015	11119
769	37062	11070
770	37106	11021
771	37160	10974
772	37209	10927
773	37254	10877
774	37304	10830
775	37351	10781
776	37395	10732
777	37444	10684
778	37487	10635
779	37537	10587
780	37586	10539
781	37631	10490
782	37675	10441
783	37721	10392
784	37766	10343
785	37811	10294
786	37857	10246
787	37902	10197
788	37948	10148
789	37993	10099
790	38043	10052
791	38092	10004
792	38139	9955
793	38185	9907
794	38231	9858
795	38277	9809
796	38325	9761
797	38369	9712
798	38418	9664
799	38466	9616
800	38513	9568
801	38554	9518
802	38602	9470
803	38653	9423
804	38701	9374
805	38748	9326
806	38795	9278
807	38843	9230
808	38889	9181
809	38940	9134
810	38981	9084
811	39027	9035
812	39075	8987
813	39119	8938
814	39168	8891
815	39214	8842
816	39263	8794
817	39311	8746
818	39357	8698
819	39405	8649
820	39451	8601
821	39496	8552
822	39541	8504
823	39587	8455
824	39628	8406
825	39687	8360
826	39730	8311
827	39777	8263
828	39825	8214
829	39872	8166
830	39922	8119
831	39969	8070
832	40021	8023
833	40071	7975
834	40122	7928
835	40166	7879
836	40217	7832
837	40263	7783
838	40310	7735
839	40358	7687
840	40412	7640
841	40459	7592
842	40508	7544
843	40556	7496
844	40608	7448
845	40659	7401
846	40708	7353
847	40756	7305
848	40807	7257
849	40854	7209
850	40903	7161
851	40951	7113
852	40997	7065
853	41047	7017
854	41100	6970
855	41143	6921
856	41193	6873
857	41239	6825
858	41287	6777
859	41334	6728
860	41384	6681
861	41431	6632
862	41479	6584
863	41522	6535
864	41569	6487
865	41615	6439
866	41662	6391
867	41714	6343
868	41766	6296
869	41814	6248
870	41861	6199
871	41912	6152
872	41957	6103
873	42006	6055
874	42055	6007
875	42105	5960
876	42150	5911
877	42198	5863
878	42248	5815
879	42291	5767
880	42343	5719
881	42386	5670
882	42433	5622
883	42481	5574
884	42528	5526
885	42571	5477
886	42618	5429
887	42664	5381
888	42709	5332
889	42756	5284
890	42800	5236
891	42846	5187
892	42892	5139
893	42943	5091
894	42987	5043
895	43037	4995
896	43079	4946
897	43124	4898
898	43173	4850
899	43218	4802
900	43267	4754
901	43317	4706
902	43362	4657
903	43407	4609
904	43454	4561
905	43500	4513
906	43547	4465
907	43592	4416
908	43639	4368
909	43686	4320
910	43732	4272
911	43780	4224
912	43826	4176
913	43872	4128
914	43915	4079
915	43964	4031
916	44013	3983
917	44059	3935
918	44102	3887
919	44148	3838
920	44189	3790
921	44236	3742
922	44280	3694
923	44327	3645
924	44372	3597
925	44419	3549
926	44469	3501
927	44516	3453
928	44564	3405
929	44612	3357
930	44656	3309
931	44704	3261
932	44750	3213
933	44795	3165
934	44843	3117
935	44890	3069
936	44937	3021
937	44987	2973
938	45033	2925
939	45078	2877
940	45126	2829
941	45175	2781
942	45217	2733
943	45264	2685
944	45312	2637
945	45358	2589
946	45405	2541
947	45450	2493
948	45495	2444
949	45542	2396
950	45591	2349
951	45639	2301
952	45685	2253
953	45735	2205
954	45783	2157
955	45830	2109
956	45879	2061
957	45927	2013
958	45974	1965
959	46022	1917
960	46069	1869
961	46113	1821
962	46161	1773
963	46204	1725
964	46250	1677
965	46298	1629
966	46347	1581
967	46395	1533
968	46438	1485
969	46484	1437
970	46527	1389
971	46574	1341
972	46618	1293
973	46666	1245
974	46709	1197
975	46757	1149
976	46801	1101
977	46845	1053
978	46894	1005
979	46938	957
980	46983	909
981	47026	861
982	47075	814
983	47122	766
984	47166	718
985	47214	670
986	47260	622
987	47308	574
988	47356	526
989	47406	478
990	47448	430
991	47490	382
992	47538	335
993	47585	287
994	47629	239
995	47673	191
996	47721	143
997	47765	95
998	47813	47
999	47858	0
