iter	MultiClass
179	0.5187501542
180	0.5153320686
181	0.5124455548
182	0.5105394721
183	0.5073570554
184	0.5044287198
185	0.5005857
186	0.4978054883
187	0.4951635139
188	0.4924519808
189	0.489975311
190	0.4871790117
191	0.4842520166
192	0.4809137628
193	0.4787449388
194	0.4767645283
195	0.4742097442
196	0.472141877
197	0.4679605537
198	0.4657691556
199	0.4631043588
200	0.4601432644
201	0.4576242065
202	0.4557660731
203	0.4529694218
204	0.4487511275
205	0.4466339979
206	0.4437990181
207	0.4409187476
208	0.438495639
209	0.4364013683
210	0.4350404362
211	0.4333307331
212	0.4315960109
213	0.4274685934
214	0.4250141468
215	0.4234756381
216	0.4211458076
217	0.4187851531
218	0.4173115425
219	0.414565819
220	0.4130653454
221	0.4107379163
222	0.408790973
223	0.4073455375
224	0.4051542983
225	0.4030023362
226	0.4006318265
227	0.3989541218
228	0.3978653115
229	0.3958911173
230	0.3920827768
231	0.3905255646
232	0.3896284771
233	0.3882076982
234	0.386579244
235	0.3842867231
236	0.3827145784
237	0.3805796681
238	0.3781133091
239	0.3764373589
240	0.3748519097
241	0.3732585579
242	0.3714830777
243	0.3696039731
244	0.3678534348
245	0.3656630269
246	0.3641164312
247	0.3626442689
248	0.3611691694
249	0.3599386924
250	0.3584389216
251	0.356870518
252	0.3553793209
253	0.3534737778
254	0.3492052218
255	0.3477674778
256	0.3465211083
257	0.3445382385
258	0.3430625575
259	0.341790954
260	0.339993562
261	0.3380836742
262	0.3374905788
263	0.3352195292
264	0.3339180627
265	0.3323581358
266	0.3301462159
267	0.3288313527
268	0.3278784505
269	0.3265856987
270	0.3255039436
271	0.32401746
272	0.3226933995
273	0.3213228877
274	0.319822466
275	0.3188100575
276	0.3172996647
277	0.3164732989
278	0.3146867533
279	0.3134746118
280	0.3120087872
281	0.3104811902
282	0.3093436358
283	0.3080176725
284	0.3065416642
285	0.3054931954
286	0.3043428403
287	0.3031523536
288	0.3019688934
289	0.300925645
290	0.2994160302
291	0.2984128961
292	0.2970618141
293	0.2955945422
294	0.2947024707
295	0.2935344933
296	0.2923022695
297	0.2907704522
298	0.2899327449
299	0.2889950728
300	0.2876037242
301	0.2863165975
302	0.2849262048
303	0.2841527214
304	0.2829213774
305	0.2815237493
306	0.2806365079
307	0.2790313955
308	0.2781707809
309	0.2772389844
310	0.2764441164
311	0.2745675093
312	0.2735809894
313	0.2722418601
314	0.2711672977
315	0.2697607728
316	0.2689067839
317	0.2673082505
318	0.2666903282
319	0.2654635933
320	0.264713507
321	0.2636756089
322	0.2630170216
323	0.2619529123
324	0.2609842241
325	0.2597852139
326	0.2587486708
327	0.2579883925
328	0.2568533814
329	0.2563320371
330	0.2557133578
331	0.2546024262
332	0.2540171634
333	0.2532523894
334	0.2525267599
335	0.251507893
336	0.2481325082
337	0.2474937628
338	0.24634369
339	0.2449891109
340	0.2441377634
341	0.2431525132
342	0.242400884
343	0.2414363906
344	0.2404889557
345	0.2396891003
346	0.2388741119
347	0.2378210655
348	0.2373691871
349	0.2365984409
350	0.2358016008
351	0.2348638558
352	0.2340973575
353	0.2333193263
354	0.2322997694
355	0.2318213798
356	0.2312269955
357	0.2301267137
358	0.2291570647
359	0.2286654586
360	0.2273998162
361	0.2262211242
362	0.2257472657
363	0.2250062195
364	0.2241550124
365	0.2232974143
366	0.2225572845
367	0.2218266183
368	0.2209087744
369	0.2201736278
370	0.2193563049
371	0.2187629351
372	0.2177830267
373	0.2169949879
374	0.2161053718
375	0.2155267791
376	0.2145226584
377	0.2138059969
378	0.2131460963
379	0.2123207609
380	0.2117976054
381	0.2110288446
382	0.2103455753
383	0.2097770666
384	0.2091509728
385	0.2083895828
386	0.2077256922
387	0.2072532884
388	0.2066180087
389	0.2059388109
390	0.2051158746
391	0.2043609935
392	0.2039544763
393	0.203293663
394	0.2027237231
395	0.2016817974
396	0.2009355377
397	0.200216178
398	0.1996484648
399	0.1988934755
400	0.1981563357
401	0.1976263698
402	0.197174419
403	0.1965204157
404	0.1958413966
405	0.1951331214
406	0.1944649044
407	0.1937291439
408	0.1928141972
409	0.1923450386
410	0.1916686761
411	0.1911561644
412	0.1902558454
413	0.1896808742
414	0.1891110111
415	0.188344404
416	0.1878838364
417	0.187324559
418	0.1866021987
419	0.1861078476
420	0.1855338182
421	0.1850771263
422	0.1845937089
423	0.1841442303
424	0.1834280648
425	0.1829747378
426	0.1826559342
427	0.1823194102
428	0.181895656
429	0.1814293466
430	0.180002802
431	0.1794523585
432	0.1782696368
433	0.1777053174
434	0.1772380959
435	0.1766520368
436	0.1760592661
437	0.1756440687
438	0.1751578812
439	0.1746757671
440	0.1743357259
441	0.1738818759
442	0.173469489
443	0.1729218737
444	0.1723329696
445	0.1719527084
446	0.1714214208
447	0.1707988634
448	0.1699148365
449	0.1694308598
450	0.1690225813
451	0.1685147765
452	0.167610872
453	0.1671618478
454	0.1664157986
455	0.1658996136
456	0.1653959343
457	0.1648370154
458	0.1642913523
459	0.1638768488
460	0.1635864998
461	0.1632153812
462	0.1629108792
463	0.1625472879
464	0.161893706
465	0.1612214124
466	0.1606874497
467	0.1602362862
468	0.1597684406
469	0.1592607684
470	0.1587892037
471	0.1581706449
472	0.1577732323
473	0.1574153409
474	0.1569380144
475	0.1566265802
476	0.1562343346
477	0.1558499832
478	0.155458798
479	0.1549195938
480	0.1545760558
481	0.154224679
482	0.1538501673
483	0.1529633502
484	0.1526567943
485	0.1522176091
486	0.1517153854
487	0.1512012958
488	0.1500042911
489	0.1496919202
490	0.1491417864
491	0.1487179009
492	0.1484060581
493	0.1479133925
494	0.147487077
495	0.1470953609
496	0.1467329785
497	0.1461462334
498	0.1457063799
499	0.1453991793
500	0.1449672768
501	0.1446544817
502	0.144315648
503	0.1438961063
504	0.1432963888
505	0.1428005225
506	0.1423475868
507	0.1419952704
508	0.1416029998
509	0.1411924154
510	0.1399552454
511	0.1395917417
512	0.1392340575
513	0.1390118561
514	0.1387080957
515	0.1383522158
516	0.138113957
517	0.1378067306
518	0.1375519428
519	0.1372211843
520	0.1369265047
521	0.1366657733
522	0.1363171059
523	0.1355788444
524	0.1352028392
525	0.1348747947
526	0.1344712837
527	0.134134281
528	0.1337636465
529	0.133468314
530	0.1332577373
531	0.132805548
532	0.1324302647
533	0.1322380739
534	0.1319272004
535	0.1315747267
536	0.1314177952
537	0.1311083926
538	0.1307922621
539	0.1304708039
540	0.1300757106
541	0.1297236152
542	0.1294468056
543	0.1291535895
544	0.1287935642
545	0.1285536882
546	0.1282994415
547	0.128078568
548	0.1276737341
549	0.1273835335
550	0.1269833442
551	0.1266583211
552	0.1264180615
553	0.1260510288
554	0.1257098323
555	0.1253734499
556	0.1250028534
557	0.1248669967
558	0.1246008371
559	0.1242577722
560	0.1239528965
561	0.1236786429
562	0.1234142536
563	0.1231009035
564	0.1227608886
565	0.1225727303
566	0.1222444367
567	0.121998311
568	0.1217513582
569	0.1216361415
570	0.1213990364
571	0.1209524362
572	0.1208047679
573	0.1205634638
574	0.1203572787
575	0.1201318946
576	0.1198568997
577	0.1195478555
578	0.1192265157
579	0.1190074346
580	0.1187612968
581	0.1180980903
582	0.1178676847
583	0.1175082728
584	0.1170886391
585	0.1169342132
586	0.1166132245
587	0.1163317281
588	0.1159888729
589	0.1157001393
590	0.1153949944
591	0.1151079577
592	0.1147621731
593	0.1145515481
594	0.1143046902
595	0.1140050438
596	0.1137959782
597	0.113462745
598	0.1131654829
599	0.1128696368
600	0.1126721842
601	0.1124739264
602	0.1122265642
603	0.1120819457
604	0.1117409368
605	0.1115668732
606	0.1113277937
607	0.1105136416
608	0.1102438505
609	0.1099184321
610	0.10978925
611	0.1095495543
612	0.109028955
613	0.1087454552
614	0.10849616
615	0.1083028857
616	0.1081031329
617	0.1078022369
618	0.1072230121
619	0.1069621313
620	0.1067293712
621	0.1065346433
622	0.1062672636
623	0.106127151
624	0.1058094552
625	0.1056095503
626	0.1052958321
627	0.1051038813
628	0.1049074846
629	0.1047525948
630	0.1044780851
631	0.1043261387
632	0.1041091965
633	0.103928032
634	0.103725477
635	0.1035873402
636	0.1033993596
637	0.1031909084
638	0.1029537854
639	0.1027786191
640	0.1025790329
641	0.1018594454
642	0.1016602566
643	0.1014023898
644	0.1012002944
645	0.1010156965
646	0.1008366023
647	0.1007296377
648	0.1005298272
649	0.1003272745
650	0.1001915767
651	0.1000441162
652	0.09977666349
653	0.09962524978
654	0.09934886543
655	0.09915478298
656	0.09890258128
657	0.09864855205
658	0.09841727345
659	0.09827523175
660	0.09808697923
661	0.09795134575
662	0.09778349576
663	0.09764693908
664	0.09750713654
665	0.09741524486
666	0.09726216654
667	0.09705806657
668	0.09686486533
669	0.09663442235
670	0.09651053495
671	0.09637248962
672	0.09620453672
673	0.09595707566
674	0.09577091016
675	0.09547970364
676	0.09521252189
677	0.09506368594
678	0.09489659479
679	0.09467893669
680	0.09454103318
681	0.09438037168
682	0.09414502458
683	0.09382118689
684	0.09363582226
685	0.0935066539
686	0.09325266756
687	0.09310144201
688	0.09289464823
689	0.09262160524
690	0.09243310004
691	0.09223018355
692	0.09208125707
693	0.09185665452
694	0.09165956682
695	0.09145303503
696	0.09132853208
697	0.09117236486
698	0.09082380851
699	0.09066445085
700	0.09046516071
701	0.09029763058
702	0.09012519543
703	0.0899448255
704	0.08978791202
705	0.08957295465
706	0.08944758852
707	0.08935691293
708	0.0891580773
709	0.08897510627
710	0.08883252215
711	0.0886175624
712	0.08845932397
713	0.0883600053
714	0.08825608865
715	0.08812872631
716	0.08781753736
717	0.08764918627
718	0.087290965
719	0.08712708244
720	0.08695556928
721	0.08683939319
722	0.08649038276
723	0.08635187913
724	0.08617323577
725	0.08601613854
726	0.0858359689
727	0.08567567304
728	0.08553194494
729	0.08539859465
730	0.08526419252
731	0.08512862595
732	0.08498218542
733	0.08421913444
734	0.08414782317
735	0.08403030122
736	0.08387956493
737	0.08372701549
738	0.08354698644
739	0.08338425314
740	0.08294180525
741	0.08281753798
742	0.08267739594
743	0.08244420207
744	0.08225428398
745	0.0821271263
746	0.08202503274
747	0.08189115549
748	0.08174282652
749	0.08157286071
750	0.08140933371
751	0.08126758721
752	0.0811313254
753	0.08098097084
754	0.08088032259
755	0.08076516527
756	0.08062862373
757	0.08049876537
758	0.08037354699
759	0.0802763764
760	0.08013957775
761	0.08004167448
762	0.07989044967
763	0.07973616411
764	0.07961366135
765	0.07938406716
766	0.07925714499
767	0.07893017935
768	0.07866570578
769	0.07858603038
770	0.07847163871
771	0.07833982766
772	0.07822032148
773	0.0781244122
774	0.07799577403
775	0.07785968522
776	0.07768565546
777	0.07720084317
778	0.07709598262
779	0.07664629826
780	0.07635959482
781	0.07621111353
782	0.07605133252
783	0.07590255492
784	0.07578782429
785	0.0755649089
786	0.0754413495
787	0.07530002901
788	0.07516502124
789	0.0750750966
790	0.07469477735
791	0.07459683611
792	0.07444994809
793	0.07433085391
794	0.07420217849
795	0.0740932754
796	0.07398863141
797	0.07391177368
798	0.07379665858
799	0.07366646862
800	0.07353531399
801	0.07341068151
802	0.0733412277
803	0.07321016219
804	0.07308966431
805	0.07298127634
806	0.0727969206
807	0.07266881876
808	0.07255269087
809	0.07247717566
810	0.07238906769
811	0.07230702537
812	0.07219664975
813	0.0721140217
814	0.07199440881
815	0.0718812243
816	0.07174174203
817	0.07163536108
818	0.07153637297
819	0.07141689984
820	0.07128387804
821	0.07115031805
822	0.07101969707
823	0.07087749014
824	0.07076891436
825	0.07067452378
826	0.07057120408
827	0.07046171223
828	0.07031964194
829	0.07024923532
830	0.07018545703
831	0.07006255795
832	0.06991912589
833	0.06981435987
834	0.06966701253
835	0.06955513435
836	0.06945929635
837	0.06932197421
838	0.06911552775
839	0.06902041127
840	0.06891850076
841	0.06882285295
842	0.06870200032
843	0.0685600164
844	0.06846152287
845	0.06832635599
846	0.06827179822
847	0.06818855456
848	0.06807293695
849	0.06798918348
850	0.06787655791
851	0.06777933657
852	0.06769874372
853	0.06760384229
854	0.06751202656
855	0.06740744489
856	0.06729107973
857	0.06713856583
858	0.06705828983
859	0.06697422298
860	0.06688238312
861	0.06682289039
862	0.06673232641
863	0.06658008911
864	0.0664820275
865	0.06639472369
866	0.06633272644
867	0.06622629337
868	0.06616871955
869	0.06606785461
870	0.06598432051
871	0.06586100967
872	0.06574347978
873	0.06564433075
874	0.06554034531
875	0.06546489833
876	0.06535747361
877	0.06524259581
878	0.06512079555
879	0.06498048858
880	0.06487356725
881	0.06478764989
882	0.06469763175
883	0.06454455387
884	0.06440447194
885	0.06432401848
886	0.06425997633
887	0.06415248384
888	0.06404061438
889	0.0639447664
890	0.06383575857
891	0.06372528268
892	0.063633714
893	0.06354431834
894	0.06345577712
895	0.06332067395
896	0.06322033456
897	0.063105534
898	0.06289556245
899	0.06280444435
900	0.06270743177
901	0.06263072879
902	0.06254079678
903	0.06245907841
904	0.06238594615
905	0.06229016707
906	0.06222138919
907	0.06213406936
908	0.06205148773
909	0.06196074147
910	0.06187116997
911	0.06181164254
912	0.06176217261
913	0.06167303422
914	0.0616260419
915	0.06154256714
916	0.06145428949
917	0.06136472855
918	0.06123718059
919	0.06111471488
920	0.0610256417
921	0.06095552031
922	0.0608742183
923	0.0608120904
924	0.06071003925
925	0.06062621325
926	0.06055273423
927	0.06050130045
928	0.06041375561
929	0.06031566802
930	0.06022570643
931	0.06014688952
932	0.06005066791
933	0.05996856746
934	0.05989978941
935	0.05980103804
936	0.05970244419
937	0.05964649821
938	0.05957430165
939	0.05951497249
940	0.0594358022
941	0.05936084149
942	0.05928555652
943	0.05917018452
944	0.05907315093
945	0.05900055864
946	0.05894611101
947	0.05887127139
948	0.05878836175
949	0.05867067723
950	0.05853046924
951	0.05846874933
952	0.05838465379
953	0.05828320625
954	0.05819537593
955	0.05811497455
956	0.05803572507
957	0.05794998714
958	0.05786508482
959	0.05780129086
960	0.05772588168
961	0.0576660658
962	0.05759710157
963	0.05751028658
964	0.0574619657
965	0.05739977462
966	0.05733983953
967	0.05726129575
968	0.05718700184
969	0.05710187134
970	0.05702107136
971	0.05695903366
972	0.05689105402
973	0.05683209271
974	0.05676323273
975	0.0567123041
976	0.0566413873
977	0.05654627357
978	0.0564686671
979	0.05639879678
980	0.05630926111
981	0.05607849784
982	0.05595948875
983	0.05590259278
984	0.0558465778
985	0.05575006055
986	0.05566212905
987	0.05559599156
988	0.0555370126
989	0.05548765577
990	0.0554468764
991	0.05537128559
992	0.05528016506
993	0.05520683349
994	0.05514313406
995	0.05506237257
996	0.05501369212
997	0.05495017556
998	0.05486374782
999	0.05480372886
